lat,lng,class,lswi,ci,evi,mndwi,ndbi,ndwi,savi,ndvi,ndpi,wetness,wwi
561169.7072,2706372.425,vegetation,0.15920709,0.600396,-1.2075717,-0.0473715,-0.15920709,0.15920709,0.37452552,0.2496907,-0.046442047,0.2634751,0.3108466
562609.9897,2704656.996,vegetation,0.23946166,0.4440347,-3.2119467,-0.10475839,-0.23946166,0.23946166,0.57749873,0.38500828,-0.04698953,0.38056853,0.48532692
560611.8851,2702848.18,vegetation,0.20959283,0.51407176,-1.8398901,-0.06515035,-0.20959283,0.20959283,0.48139954,0.32094136,-0.04901961,0.33765686,0.4028072
560197.7585,2699168.07,vegetation,0.15929665,0.544399,-1.7862409,-0.0966306,-0.15929665,0.15929665,0.44249147,0.2950021,-0.045154545,0.2876395,0.3842701
561789.1974,2695809.7,vegetation,0.17648165,0.5358228,-1.7923305,-0.083147734,-0.17648165,0.17648165,0.45333853,0.30223355,-0.044980023,0.3069969,0.39014465
561994.5944,2698001.943,vegetation,0.21430127,0.46700618,-2.7579424,-0.10544697,-0.21430127,0.21430127,0.54496783,0.3633208,-0.04362636,0.35853836,0.46398532
561086.2718,2692597.899,vegetation,0.1747436,0.46644452,-4.1438923,-0.15019915,-0.1747436,0.1747436,0.545752,0.36384293,-0.028443113,0.33431152,0.48451063
562522.0065,2692212.884,vegetation,0.1842248,0.5130083,-2.2729862,-0.09962246,-0.1842248,0.1842248,0.48279253,0.3218698,-0.04334886,0.3204715,0.42009395
563307.5664,2692920.747,vegetation,0.2089849,0.5648502,-1.2880223,-0.018332757,-0.2089849,0.2089849,0.41710454,0.2780776,-0.05051857,0.30287236,0.3212051
580375.1345,2692459.878,vegetation,0.119537175,0.5223464,-6.8154645,-0.17920528,-0.119537175,0.119537175,0.47063142,0.31376147,-0.024211116,0.27079913,0.4500044
580241.0781,2690815.556,vegetation,0.13579856,0.48940325,-3.7889292,-0.17354839,-0.13579856,0.13579856,0.5142175,0.3428197,-0.030708116,0.30275646,0.47630486
579581.9834,2693238.025,vegetation,0.14554536,0.5674005,-1.5159338,-0.0915061,-0.14554536,0.14554536,0.4139859,0.27599806,-0.047235396,0.2768258,0.36833188
